Corpus,PhonBank/CHILDES,Longitudinal?,Age range,Language,Audio Attached?,Timestamps?,Sufficient Child Speech,Sufficient Adult Speech,N,link,,Notes
BatEl,CHILDES,yes,0;8-2;9,Hebrew,no,yes,yes,yes,3,https://childes.talkbank.org/access/Other/Hebrew/BatEl.html,,The timestamps are formatted differently in this corpus
,,,,,,,,,,,,
Gildersleeve,PhonBank,yes,1;0-2;0,Quechua,yes,no,yes,yes (separate CHAT files),7,https://phonbank.talkbank.org/access/Other/Quechua/Gildersleeve.html,,
Narasimhan,CHILDES,yes,0;9-2;9,Tamil,no,no,yes,yes,1,https://childes.talkbank.org/access/Other/Tamil/Narasimhan.html,,
Lahrouchi,Phonbank,no,"0;9.26 - 2;0.15, 0;8.07 - 1;10.11",Shilha,yes,no,yes,no,2,https://phonbank.talkbank.org/access/Other/Berber/Lahrouchi.html,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,"There are no transcripts, only audio"
